Player;FSP.1;FSW.1;SSP.1;SSW.1;ACE.1;DBF.1;WNR.1;UFE.1;BPC.1;BPW.1;NPA.1
A Petkovic;1,45874124;-4,553841291;-4,431135525;-7,253368142;-7,130662376;-7,00795661;-5,044664355;-2,713254802;-6,39442778;-7,498779674;-6,39442778
A Riske;0,84521241;-3,0813721;-3,817606696;-5,903604717;-7,253368142;-7,498779674;-5,535487419;-5,167370121;-7,376073908;-7,376073908;-4,676547057
A Riske;0,967918176;-4,921958589;-3,940312462;-6,885250844;-7,498779674;-7,376073908;-6,149016248;-6,762545078;-6,517133546;-7,00795661;-7,253368142
A Riske;-0,013727952;-4,431135525;-2,958666334;-6,271722014;-7,62148544;-7,498779674;-5,412781653;-6,149016248;-6,149016248;-7,130662376;-5,780898951
A Tatishvili;0,108977814;-6,026310482;-1,854314441;-7,130662376;-7,62148544;-7,00795661;-6,639839312;-4,921958589;-7,00795661;-7,376073908;-7,00795661
A Tomljanovic;-0,872668313;-6,026310482;-2,099725972;-6,517133546;-7,62148544;-7,130662376;-5,903604717;-2,835960568;-6,517133546;-7,376073908;-5,780898951
A Wozniak;-1,731608675;-6,39442778;-1,240785611;-7,130662376;-7,62148544;-6,639839312;-6,39442778;-3,326783632;-7,00795661;-7,253368142;-6,39442778
A. Medina Garrigues;-0,627256781;-5,412781653;-2,345137504;-6,762545078;-7,62148544;-7,62148544;-6,149016248;-5,044664355;-7,130662376;-6,149016248;-7,498779674
A.Beck;1,213329708;-4,063018227;-4,185723993;-5,903604717;-7,376073908;-7,62148544;-5,903604717;-6,271722014;-6,271722014;-6,885250844;-7,376073908
A.Beck;0,477095112;-4,799252823;-3,449489398;-6,517133546;-7,62148544;-7,130662376;-6,517133546;-4,308429759;-5,903604717;-6,885250844;-7,253368142
A.Bedene;-0,259139483;-3,449489398;-2,713254802;-5,658193185;-6,762545078;-7,253368142;-5,290075887;-3,940312462;-6,885250844;-7,62148544;-6,39442778
A.Bogomolov Jr.;2,072270069;-3,326783632;-5,044664355;-6,639839312;-7,498779674;-7,130662376;-5,658193185;-4,308429759;-7,62148544;-7,62148544;-4,921958589
A.Cadantu;1,090623942;-4,063018227;-4,063018227;-6,639839312;-7,376073908;-7,253368142;-5,535487419;-4,921958589;-6,639839312;-7,00795661;-6,639839312
A.Cadantu;2,072270069;-3,940312462;-5,044664355;-6,762545078;-7,62148544;-7,253368142;-5,780898951;-6,39442778;-6,885250844;-7,253368142;-6,271722014
A.Cornet;-0,627256781;-3,204077866;-2,345137504;-5,044664355;-7,130662376;-7,130662376;-3,326783632;-3,940312462;-5,903604717;-7,130662376;-4,921958589
A.Cornet;0,23168358;-4,063018227;-3,204077866;-5,903604717;-7,376073908;-7,498779674;-5,167370121;-6,39442778;-6,517133546;-7,130662376;-5,780898951
A.Cornet;-0,749962547;-4,185723993;-2,222431738;-5,290075887;-7,376073908;-7,00795661;-4,676547057;-4,921958589;-6,639839312;-7,00795661;-5,167370121
A.Dolgopolov;-0,381845249;1,704152772;-2,590549036;-3,572195164;-5,780898951;-7,376073908;-0,749962547;-3,449489398;-6,517133546;-7,00795661;-1,118079845
A.Dolgopolov;0,23168358;-2,958666334;-3,204077866;-5,290075887;-6,762545078;-7,62148544;-2,958666334;-5,535487419;-6,39442778;-7,00795661;-2,46784327
A.Falla;-0,627256781;-2,590549036;-2,345137504;-4,921958589;-7,498779674;-6,885250844;-4,185723993;-2,46784327;-6,517133546;-7,00795661;-3,940312462
A.Glatch;-0,995374079;-4,431135525;-1,977020207;-6,639839312;-6,762545078;-7,498779674;-5,535487419;-4,676547057;-7,00795661;-7,376073908;-4,553841291
A.Haider-Maurer;-0,749962547;-2,345137504;-2,222431738;-5,412781653;-6,639839312;-6,885250844;-3,326783632;-4,063018227;-7,376073908;-7,376073908;-4,431135525
A.Hlavackova;2,072270069;-4,553841291;-5,044664355;-6,885250844;-7,376073908;-7,376073908;-5,290075887;-4,431135525;-6,885250844;-7,253368142;-5,903604717
A.Ivanovic;0,599800878;-4,063018227;-3,572195164;-6,39442778;-6,885250844;-7,62148544;-5,535487419;-6,762545078;-7,00795661;-7,130662376;-7,253368142
A.Ivanovic;-1,363491377;-6,149016248;-1,608902909;-6,39442778;-7,00795661;-7,253368142;-5,412781653;-6,517133546;-7,00795661;-7,376073908;-6,149016248
A.Keothavong;-0,013727952;-5,412781653;-2,958666334;-6,271722014;-7,376073908;-7,376073908;-6,39442778;-5,903604717;-7,498779674;-7,62148544;-6,39442778
A.Kerber;-0,504551015;-5,044664355;-2,46784327;-6,026310482;-7,498779674;-7,62148544;-5,780898951;-7,130662376;-6,39442778;-7,00795661;-5,780898951
A.Kuznetsov;0,354389346;-3,449489398;-3,326783632;-5,780898951;-7,253368142;-7,253368142;-4,431135525;-4,921958589;-7,498779674;-7,498779674;-5,044664355
A.Kuznetsov;-0,136433717;-2,835960568;-2,835960568;-6,271722014;-6,639839312;-7,498779674;-2,835960568;-5,412781653;-6,885250844;-7,62148544;-5,535487419
A.Kuznetsov;0,108977814;-0,749962547;-3,0813721;-5,044664355;-5,044664355;-7,253368142;-0,749962547;-3,69490093;-5,658193185;-7,130662376;-5,044664355
A.Mannarino;0,108977814;-3,817606696;-3,0813721;-5,535487419;-6,885250844;-7,62148544;-3,449489398;-5,903604717;-6,026310482;-6,885250844;-3,817606696
A.Mannarino;-0,381845249;0,84521241;-2,590549036;-3,326783632;-6,026310482;-7,253368142;-1,363491377;-4,676547057;-7,00795661;-7,376073908;-2,835960568
A.Mannarino;0,354389346;-2,222431738;-3,326783632;-5,167370121;-5,658193185;-7,376073908;-2,713254802;-6,39442778;-6,149016248;-7,130662376;-4,185723993
A.Medina Garrigues;0,477095112;-5,290075887;-3,449489398;-6,517133546;-7,62148544;-7,62148544;-5,044664355;-5,658193185;-6,885250844;-7,62148544;-6,149016248
A.Montanes;1,336035474;-0,381845249;-4,308429759;-5,903604717;-6,762545078;-6,639839312;-3,572195164;-4,185723993;-6,517133546;-7,376073908;-6,271722014
A.Morita;1,581447006;-2,590549036;-4,553841291;-6,639839312;-7,498779674;-7,130662376;-5,535487419;-5,044664355;-7,130662376;-7,498779674;-6,517133546
A.Murray;0,84521241;1,213329708;-3,817606696;-4,799252823;-5,903604717;-7,253368142;-3,204077866;-4,308429759;-6,271722014;-7,00795661;-3,817606696
A.Murray;0,967918176;-0,259139483;-3,940312462;-4,676547057;-5,167370121;-7,498779674;-1,608902909;-5,780898951;-6,026310482;-7,00795661;-3,204077866
A.Murray;-0,627256781;-2,835960568;-2,345137504;-5,167370121;-6,271722014;-7,376073908;-2,958666334;-5,658193185;-6,39442778;-7,00795661;-4,799252823
A.Murray;0,108977814;-2,222431738;-3,0813721;-5,167370121;-6,271722014;-7,498779674;-2,590549036;-5,903604717;-5,780898951;-7,130662376;-4,799252823
A.Murray;0,354389346;-2,222431738;-3,326783632;-5,658193185;-6,517133546;-7,62148544;-2,713254802;-5,903604717;-6,762545078;-7,00795661;-4,185723993
A.Murray;0,108977814;-0,872668313;-3,0813721;-5,658193185;-5,780898951;-7,130662376;-2,099725972;-5,658193185;-6,39442778;-7,00795661;-2,46784327
A.Murray;0,23168358;-1,731608675;-3,204077866;-5,658193185;-6,517133546;-7,376073908;-3,204077866;-5,044664355;-5,535487419;-6,762545078;-3,0813721
A.Pavlyuchenkova;-0,627256781;-6,517133546;-2,345137504;-7,00795661;-7,498779674;-7,130662376;-5,903604717;-5,412781653;-7,498779674;-7,62148544;-5,903604717
A.Petkovic;0,108977814;-2,958666334;-3,0813721;-4,921958589;-7,130662376;-7,376073908;-4,431135525;-3,940312462;-5,658193185;-6,762545078;-5,290075887
A.Petkovic;1,826858538;-4,185723993;-4,799252823;-6,762545078;-7,498779674;-7,62148544;-5,412781653;-6,517133546;-6,885250844;-7,130662376;-6,762545078
A.Radwanska;1,826858538;-1,240785611;-4,799252823;-6,517133546;-7,62148544;-7,00795661;-3,69490093;-5,412781653;-5,658193185;-7,00795661;-3,69490093
A.Radwanska;1,090623942;-1,854314441;-4,063018227;-5,535487419;-7,253368142;-7,00795661;-2,835960568;-6,271722014;-6,149016248;-7,130662376;-1,731608675
A.Radwanska;0,967918176;-2,46784327;-3,940312462;-5,780898951;-7,498779674;-7,62148544;-5,044664355;-6,39442778;-5,903604717;-6,885250844;-3,817606696
A.Radwanska;1,090623942;-0,872668313;-4,063018227;-5,412781653;-7,376073908;-7,498779674;-4,799252823;-6,39442778;-5,412781653;-7,253368142;-3,817606696
A.Radwanska;1,336035474;-4,676547057;-4,308429759;-7,00795661;-7,00795661;-7,498779674;-5,535487419;-6,639839312;-6,639839312;-6,885250844;-5,903604717
A.Radwanska;-0,013727952;-4,799252823;-2,958666334;-6,149016248;-7,62148544;-7,498779674;-5,903604717;-6,762545078;-6,517133546;-7,00795661;-5,903604717
A.Radwanska;1,213329708;-4,431135525;-4,185723993;-6,885250844;-7,253368142;-7,62148544;-5,044664355;-6,026310482;-6,639839312;-7,00795661;-7,62148544
A.Radwanska;1,581447006;-2,46784327;-4,553841291;-6,149016248;-7,498779674;-7,498779674;-6,026310482;-5,780898951;-7,00795661;-7,253368142;-5,903604717
A.Ramos;-0,504551015;-3,940312462;-2,46784327;-6,639839312;-6,762545078;-7,130662376;-4,063018227;-4,799252823;-6,885250844;-7,498779674;-5,658193185
A.Riske;1,213329708;-1,486197143;-4,185723993;-6,39442778;-7,376073908;-6,762545078;-2,835960568;-3,326783632;-6,517133546;-6,885250844;0,23168358
A.Riske;-0,259139483;-5,780898951;-2,713254802;-6,639839312;-7,498779674;-7,130662376;-6,149016248;-6,517133546;-7,498779674;-7,498779674;-6,517133546
A.Rus;-0,749962547;-5,290075887;-2,222431738;-5,780898951;-7,62148544;-6,762545078;-5,290075887;-1,731608675;-7,00795661;-7,130662376;-6,517133546
A.Schmiedlova;0,354389346;-4,676547057;-3,326783632;-6,762545078;-7,376073908;-7,253368142;-6,762545078;-5,780898951;-7,376073908;-7,62148544;-7,130662376
A.Seppi;-0,259139483;0,354389346;-2,713254802;-3,449489398;-6,517133546;-7,498779674;-2,222431738;-4,185723993;-6,149016248;-6,885250844;-3,69490093
A.Seppi;-0,136433717;2,685798899;-2,835960568;-3,204077866;-6,026310482;-7,00795661;-1,854314441;-1,608902909;-7,00795661;-7,376073908;-4,431135525
A.Seppi;-0,381845249;-1,854314441;-2,590549036;-5,412781653;-7,00795661;-7,130662376;-3,204077866;-5,167370121;-7,376073908;-7,62148544;-4,308429759
A.Tatishvili;0,599800878;-3,817606696;-3,572195164;-6,026310482;-7,62148544;-7,00795661;-5,290075887;-4,921958589;-6,271722014;-7,253368142;-5,903604717
A.Tomljanovic;-0,381845249;-2,958666334;-2,590549036;-4,921958589;-6,885250844;-7,130662376;-3,326783632;-2,46784327;-5,903604717;-7,376073908;-6,149016248
A.Ungur;-0,381845249;-2,345137504;-2,590549036;-4,553841291;-7,376073908;-7,00795661;-4,431135525;-5,044664355;-7,376073908;-7,376073908;-4,553841291
Adrian Mannarino;-0,504551015;-1,240785611;-2,46784327;-3,0813721;-7,253368142;-7,253368142;-7,253368142;-7,253368142;-6,762545078;-6,271722014;-7,62148544
Adrian Mannarino;-0,872668313;-2,222431738;-2,099725972;-4,553841291;-7,00795661;-7,498779674;-3,69490093;1,336035474;-7,00795661;-6,39442778;-5,412781653
Adrian Mannarino;0,108977814;1,090623942;-3,0813721;-2,958666334;-7,00795661;-7,00795661;-2,099725972;2,194975835;-7,00795661;-6,149016248;-4,185723993
Adrian Mannarino;-0,627256781;-1,854314441;-2,345137504;-3,940312462;-6,271722014;-6,762545078;-7,62148544;-7,62148544;-6,885250844;-6,026310482;-7,62148544
Adrian Mannarino;-0,872668313;0,722506644;-2,099725972;-2,590549036;-6,026310482;-7,253368142;-7,62148544;-7,62148544;-7,376073908;-6,885250844;-4,185723993
Adrian Mannarino;0,354389346;-4,308429759;-3,326783632;-6,517133546;-7,498779674;-7,62148544;-7,62148544;-7,62148544;-7,62148544;-7,498779674;-6,517133546
Adrian Ungur;-0,749962547;-5,412781653;-2,222431738;-6,639839312;-7,498779674;-6,762545078;-7,62148544;-7,62148544;-7,498779674;-7,498779674;-6,885250844
Agnieszka Radwanska;0,599800878;-5,535487419;-3,572195164;-6,517133546;-7,498779674;-7,62148544;-6,026310482;-6,639839312;-6,885250844;-5,903604717;-6,517133546
Agnieszka Radwanska;0,722506644;-5,535487419;-3,69490093;-7,376073908;-7,376073908;-7,376073908;-6,149016248;-4,676547057;-7,498779674;-6,517133546;-7,130662376
Agnieszka Radwanska;0,354389346;-4,799252823;-3,326783632;-6,271722014;-7,376073908;-7,498779674;-5,903604717;-7,00795661;-7,00795661;-6,639839312;-7,00795661
Agnieszka Radwanska;0,354389346;-3,204077866;-3,326783632;-5,658193185;-7,00795661;-7,376073908;-4,553841291;-5,290075887;-6,885250844;-6,517133546;-6,026310482
Agnieszka Radwanska;1,336035474;-3,449489398;-4,308429759;-6,271722014;-7,376073908;-7,498779674;-6,517133546;-5,780898951;-7,130662376;-6,517133546;-7,130662376
Agnieszka Radwanska;-0,381845249;-3,572195164;-2,590549036;-5,658193185;-7,498779674;-7,498779674;-4,799252823;-5,780898951;-6,885250844;-5,658193185;-5,290075887
Agnieszka Radwanska;-0,381845249;-3,204077866;-2,590549036;-5,780898951;-6,517133546;-7,498779674;-2,958666334;-3,817606696;-6,762545078;-6,271722014;-4,921958589
Agnieszka Radwanska;0,477095112;-4,185723993;-3,449489398;-6,639839312;-7,498779674;-7,498779674;-5,412781653;-6,026310482;-7,00795661;-6,639839312;-6,271722014
Agnieszka Radwanska;-0,627256781;-5,044664355;-2,345137504;-5,780898951;-7,498779674;-7,498779674;-5,412781653;-7,00795661;-7,00795661;-6,517133546;-6,517133546
Agnieszka Radwanska;0,967918176;-4,185723993;-3,940312462;-7,00795661;-7,376073908;-7,376073908;-4,308429759;-4,308429759;-7,00795661;-6,271722014;-5,167370121
Agnieszka Radwanska;-0,136433717;-4,431135525;-2,835960568;-5,658193185;-7,498779674;-7,62148544;-6,39442778;-5,535487419;-7,253368142;-6,885250844;-6,517133546
Ajla Tomljanovic;-0,995374079;-3,326783632;-1,977020207;-4,921958589;-7,253368142;-6,885250844;-4,553841291;-2,222431738;-7,253368142;-6,885250844;-6,639839312
Ajla Tomljanovic;-1,608902909;-3,204077866;-1,363491377;-4,553841291;-7,00795661;-6,885250844;-7,00795661;-6,885250844;-7,253368142;-6,885250844;-7,62148544
Albano Olivetti;-0,749962547;-3,0813721;-2,222431738;-5,780898951;-5,412781653;-6,639839312;-7,62148544;-7,62148544;-7,62148544;-7,498779674;-7,62148544
Albert Montanes;-0,259139483;-4,799252823;-2,713254802;-6,517133546;-7,498779674;-7,130662376;-7,498779674;-7,130662376;-7,62148544;-7,62148544;-7,62148544
Albert Montanes;0,354389346;-0,381845249;-3,326783632;-5,044664355;-7,00795661;-7,130662376;-2,958666334;-5,167370121;-6,885250844;-5,290075887;-6,271722014
Albert Montanes;0,599800878;-4,185723993;-3,572195164;-6,517133546;-7,253368142;-7,498779674;-4,185723993;-3,204077866;-7,376073908;-7,253368142;-6,39442778
Albert Montanes;-1,363491377;-4,063018227;-1,608902909;-5,167370121;-7,130662376;-6,639839312;-7,62148544;-7,62148544;-7,62148544;-7,62148544;-7,62148544
Albert Ramos;-0,136433717;-3,69490093;-2,835960568;-6,39442778;-7,376073908;-7,253368142;-7,376073908;-7,253368142;-7,253368142;-6,762545078;-7,62148544
Albert Ramos;-0,136433717;-2,590549036;-2,835960568;-4,553841291;-7,00795661;-7,498779674;-4,921958589;-5,535487419;-7,498779674;-6,885250844;-6,39442778
Albert Ramos;-0,872668313;1,704152772;-2,099725972;-2,46784327;-6,517133546;-6,517133546;-7,62148544;-7,62148544;-7,130662376;-5,780898951;-4,431135525
Alejandro Falla;-0,259139483;-1,486197143;-2,713254802;-4,799252823;-7,130662376;-7,376073908;-7,130662376;-7,376073908;-6,39442778;-4,185723993;-7,62148544
Alejandro Falla;-0,259139483;-0,749962547;-2,713254802;-4,553841291;-7,498779674;-7,253368142;-4,431135525;-3,0813721;-7,376073908;-6,762545078;-4,676547057
Alejandro Falla;-0,995374079;-6,39442778;-1,977020207;-6,762545078;-7,498779674;-7,498779674;-6,885250844;-5,780898951;-7,498779674;-7,00795661;-7,00795661
Alejandro Gonzalez;0,722506644;-3,449489398;-3,69490093;-6,762545078;-7,376073908;-7,130662376;-4,921958589;-2,590549036;-7,00795661;-6,762545078;-6,271722014
Aleksandr Nedovyesov;-0,136433717;-3,0813721;-2,835960568;-5,535487419;-6,639839312;-7,376073908;-4,921958589;-3,0813721;-7,62148544;-7,376073908;-6,271722014
Alex Bogomolov Jr.;0,23168358;2,440387367;-3,204077866;-3,572195164;-7,376073908;-6,885250844;-7,62148544;-7,62148544;-7,00795661;-6,149016248;-5,044664355
Alex Bogomolov Jr.;0,84521241;3,053916197;-3,817606696;-3,940312462;-6,639839312;-6,517133546;-7,62148544;-7,62148544;-6,885250844;-5,903604717;-4,676547057
Alex Bogomolov Jr.;-0,995374079;-4,431135525;-1,977020207;-6,026310482;-7,62148544;-6,271722014;-6,271722014;-1,977020207;-7,376073908;-6,885250844;-6,639839312
Alex Kuznetsov;0,108977814;-3,572195164;-3,0813721;-6,026310482;-7,00795661;-7,253368142;-3,449489398;-1,608902909;-7,498779674;-6,885250844;-5,290075887
Alexandr Dolgopolov;1,090623942;2,317681601;-4,063018227;-4,921958589;-5,780898951;-7,376073908;-2,345137504;-3,204077866;-7,130662376;-6,149016248;-5,290075887
Alexandr Dolgopolov;-0,504551015;-2,46784327;-2,46784327;-4,799252823;-6,762545078;-7,130662376;-3,0813721;-3,817606696;-7,00795661;-5,658193185;-6,149016248
Alexandr Dolgopolov;-0,872668313;-1,363491377;-2,099725972;-4,921958589;-5,903604717;-7,376073908;-2,222431738;-1,486197143;-7,253368142;-6,762545078;-6,639839312
Alexandr Dolgopolov;-2,099725972;-3,449489398;-0,872668313;-4,308429759;-6,885250844;-7,130662376;-7,62148544;-7,62148544;-6,885250844;-5,044664355;-7,62148544
Alexandr Dolgopolov;-1,118079845;-3,326783632;-1,854314441;-5,290075887;-6,39442778;-7,130662376;-7,62148544;-7,62148544;-7,376073908;-6,517133546;-7,62148544
Alexandra Cadantu;-0,504551015;-5,903604717;-2,46784327;-6,517133546;-7,498779674;-6,639839312;-6,026310482;-3,204077866;-7,498779674;-7,253368142;-7,00795661
Alexandra Cadantu;1,213329708;-4,185723993;-4,185723993;-6,517133546;-7,62148544;-7,00795661;-5,044664355;-5,535487419;-7,253368142;-6,639839312;-7,00795661
Alison Riske;0,23168358;-4,676547057;-3,204077866;-6,639839312;-7,130662376;-7,253368142;-5,780898951;-5,658193185;-7,130662376;-6,639839312;-7,00795661
Alison Riske;1,949564303;-4,308429759;-4,921958589;-6,885250844;-7,130662376;-7,376073908;-5,780898951;-6,639839312;-7,00795661;-6,39442778;-7,376073908
Alison Riske;-0,013727952;-5,658193185;-2,958666334;-6,639839312;-7,62148544;-6,885250844;-5,412781653;-4,063018227;-7,130662376;-7,00795661;-6,639839312
Alison Van Uytvanck;-0,995374079;-3,69490093;-1,977020207;-5,780898951;-7,00795661;-7,130662376;-4,921958589;-2,713254802;-7,376073908;-6,762545078;-7,130662376
Alize Cornet;1,581447006;-7,253368142;-4,553841291;-7,498779674;-7,498779674;-7,62148544;-7,376073908;-7,62148544;-7,62148544;-7,62148544;-7,498779674
Alize Cornet;0,354389346;-4,676547057;-3,326783632;-6,517133546;-7,62148544;-7,00795661;-6,271722014;-4,799252823;-7,130662376;-6,885250844;-6,762545078
Alize Cornet;0,967918176;-4,185723993;-3,940312462;-6,271722014;-7,62148544;-7,253368142;-5,658193185;-5,290075887;-6,885250844;-6,517133546;-6,762545078
Alize Cornet;-0,381845249;-2,835960568;-2,590549036;-5,535487419;-7,498779674;-6,517133546;-7,00795661;-4,063018227;-6,885250844;-6,026310482;-7,376073908
Alize Cornet;1,45874124;-4,676547057;-4,431135525;-6,39442778;-7,376073908;-7,498779674;-4,921958589;-5,412781653;-7,00795661;-6,39442778;-6,517133546
Alize Cornet;0,354389346;-4,185723993;-3,326783632;-6,39442778;-7,253368142;-7,253368142;-4,185723993;-3,69490093;-6,885250844;-5,658193185;-6,762545078
Aljaz Bedene;-1,240785611;-2,590549036;-1,731608675;-5,290075887;-6,026310482;-6,639839312;-7,62148544;-7,62148544;-7,376073908;-6,517133546;-7,62148544
Aljaz Bedene;-0,995374079;-2,713254802;-1,977020207;-6,517133546;-5,658193185;-6,271722014;-4,185723993;-1,240785611;-7,130662376;-7,00795661;-6,885250844
Aljaz Bedene;-0,013727952;-4,431135525;-2,958666334;-6,149016248;-7,130662376;-7,130662376;-5,780898951;-3,326783632;-7,498779674;-7,130662376;-6,517133546
Alla Kudryavtseva;-0,504551015;-3,0813721;-2,46784327;-5,903604717;-7,253368142;-7,130662376;-7,253368142;-7,130662376;-6,885250844;-6,39442778;-7,62148544
Alla Kudryavtseva;0,108977814;-4,553841291;-3,0813721;-6,639839312;-7,130662376;-7,376073908;-4,799252823;-4,676547057;-7,498779674;-7,376073908;-6,271722014
Ana Ivanovic;-0,259139483;-4,676547057;-2,713254802;-6,517133546;-7,253368142;-7,130662376;-5,903604717;-4,921958589;-6,639839312;-6,517133546;-7,130662376
Ana Ivanovic;-0,995374079;-5,658193185;-1,977020207;-6,026310482;-7,376073908;-7,376073908;-5,658193185;-5,535487419;-6,885250844;-6,762545078;-7,62148544
Ana Ivanovic;-0,504551015;-1,854314441;-2,46784327;-4,799252823;-6,885250844;-7,253368142;-1,977020207;-2,713254802;-7,130662376;-6,517133546;-5,658193185
Ana Ivanovic;-1,118079845;-3,817606696;-1,854314441;-5,044664355;-7,498779674;-7,376073908;-3,572195164;-4,308429759;-7,130662376;-5,903604717;-6,39442778
Ana Ivanovic;-0,749962547;-3,449489398;-2,222431738;-4,799252823;-7,498779674;-7,130662376;-3,449489398;-3,326783632;-7,00795661;-6,149016248;-6,149016248
Ana Ivanovic;-0,995374079;-3,0813721;-1,977020207;-4,676547057;-7,253368142;-7,253368142;-4,308429759;-3,204077866;-7,130662376;-6,39442778;-6,885250844
Ana Ivanovic;-0,872668313;-5,167370121;-2,099725972;-6,39442778;-7,62148544;-7,498779674;-5,412781653;-6,39442778;-7,00795661;-6,639839312;-7,376073908
Ana Ivanovic;1,336035474;-3,69490093;-4,308429759;-6,639839312;-7,00795661;-7,253368142;-4,799252823;-5,044664355;-7,130662376;-6,39442778;-7,376073908
Ana Ivanovic;-1,486197143;-5,290075887;-1,486197143;-5,780898951;-7,498779674;-6,517133546;-4,063018227;-3,572195164;-7,376073908;-7,00795661;-6,639839312
Ana Konjuh;-1,486197143;-6,026310482;-1,486197143;-6,517133546;-7,62148544;-7,00795661;-6,762545078;-4,553841291;-7,62148544;-7,498779674;-7,253368142
Anabel Medina Garrigues;2,931210431;-5,412781653;-5,903604717;-7,253368142;-7,62148544;-7,498779674;-7,62148544;-7,498779674;-7,376073908;-7,130662376;-7,62148544
Anastasia Pavlyuchenkova;-1,486197143;-3,572195164;-1,486197143;-4,921958589;-7,00795661;-7,00795661;-3,0813721;-2,713254802;-6,885250844;-6,39442778;-6,271722014
Anastasia Pavlyuchenkova;-0,995374079;-3,817606696;-1,977020207;-4,921958589;-7,253368142;-7,130662376;-3,204077866;-2,099725972;-6,762545078;-5,658193185;-6,026310482
Anastasia Pavlyuchenkova;-0,381845249;-4,063018227;-2,590549036;-5,535487419;-7,62148544;-6,762545078;-2,835960568;-1,608902909;-7,253368142;-7,00795661;-6,149016248
Anastasia Pavlyuchenkova;0,599800878;-4,676547057;-3,572195164;-6,639839312;-7,00795661;-7,498779674;-7,00795661;-7,498779674;-7,130662376;-6,517133546;-7,62148544
Anastasia Pavlyuchenkova;-0,013727952;-3,69490093;-2,958666334;-5,780898951;-7,253368142;-7,00795661;-7,253368142;-7,00795661;-7,253368142;-6,149016248;-7,62148544
Andrea Hlavackova;1,213329708;-1,977020207;-4,185723993;-6,271722014;-7,376073908;-7,00795661;-3,69490093;-2,958666334;-6,762545078;-6,149016248;-6,517133546
Andrea Petkovic;0,722506644;-4,799252823;-3,69490093;-6,885250844;-7,498779674;-7,130662376;-5,780898951;-3,817606696;-7,498779674;-7,253368142;-6,762545078
Andreas Beck;-0,872668313;-3,0813721;-2,099725972;-4,553841291;-7,130662376;-7,130662376;-3,449489398;-2,835960568;-7,498779674;-6,026310482;-5,780898951
Andreas Haider-Maurer;-0,259139483;-2,099725972;-2,713254802;-5,535487419;-6,762545078;-7,00795661;-7,62148544;-7,62148544;-7,62148544;-7,00795661;-7,62148544
